Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged
1072653602,"Jul 1, 2017, 12:17:41 AM",Beer and a bike ride. ,Ride,,1380,10.97,,false,,activities/1072653602.gpx,70.30680084228516,,1380.0,1178.0,10974.0,12.300000190734863,,62.91669845581055,,874.0,926.5,7.199999809265137,-0.12119600176811218,,,,,,,,71.94409942626953,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077714420,"Jul 11, 2017, 2:02:06 AM",Ice Cream at the Lake,Ride,,3607,8.39,,false,,activities/1077714420.gpx,70.30680084228516,,3607.0,2483.0,8396.2001953125,10.0,,36.2859992980957,,1525.9000244140625,1544.5999755859375,22.700000762939453,0.07384289801120758,,,,,,,,39.71799850463867,109.96106719970703,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077729039,"Jul 11, 2017, 3:48:20 AM",Sunset Solo Paddle ,Stand Up Paddling,,1417,1.27,,false,,activities/1077729039.gpx,,,1417.0,1283.0,1275.4000244140625,1.7000000476837158,,0.0,,1521.0,1522.5,7.199999809265137,0.08624749630689621,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080074062,"Jul 12, 2017, 4:34:14 PM",Oops we forgot to buy limes. ,Ride,,909,4.65,,false,,activities/1080074062.gpx,70.30680084228516,,909.0,881.0,4657.5,8.600000381469727,,10.010700225830078,,1525.9000244140625,1545.300048828125,6.699999809265137,-0.20182499289512634,,,,,,,,57.149200439453125,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080584986,"Jul 12, 2017, 8:26:35 PM",Payette Lake Paddle,Stand Up Paddling,,4232,3.92,,false,,activities/1080584986.gpx,,,4232.0,3926.0,3925.300048828125,2.0,,0.0,,1521.4000244140625,1523.699951171875,8.300000190734863,-0.020380599424242973,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096269253,"Jul 17, 2017, 6:38:43 AM",Walk to the beach,Hike,,17142,16.71,,false,,activities/1096269253.gpx,,,17142.0,12858.0,16711.5,9.600000381469727,,240.19000244140625,,3.9000000953674316,394.70001220703125,47.0,-2.2314000129699707,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096466388,"Jul 22, 2017, 5:08:05 PM",Oops the pizzeria was not serving pizza,Run,,2167,2.97,,false,,activities/1096466388.gpx,70.30680084228516,,2167.0,2003.0,2969.5,2.0999999046325684,,24.95050048828125,,362.29998779296875,402.8999938964844,17.799999237060547,-1.1820199489593506,,,,,,,,,253.3745574951172,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097536696,"Jul 23, 2017, 11:28:29 AM",Ceriana hill stroll,Walk,,3950,2.70,,false,,activities/1097536696.gpx,,,3950.0,2016.0,2703.10009765625,12.600000381469727,,191.26199340820312,,393.0,527.7000122070312,49.599998474121094,-0.20716999471187592,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099305835,"Jul 24, 2017, 11:21:29 AM",Back to the beach,Hike,,12306,16.03,,false,,activities/1099305835.gpx,,,12306.0,11104.0,16037.400390625,9.5,,222.16700744628906,,1.2999999523162842,414.70001220703125,44.79999923706055,-2.464240074157715,,,,,,,,,1385.3836669921875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100555781,"Jul 25, 2017, 9:11:25 AM",Piu veloce senza moglie,Run,,8956,16.95,,false,,activities/1100555781.gpx,70.30680084228516,,8956.0,8156.0,16956.69921875,16.799999237060547,,228.54800415039062,,3.9000000953674316,407.29998779296875,44.599998474121094,-2.27167010307312,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
